用户ID,年龄,性别,所在城市,职业,教育程度,婚姻状况,月工资收入,经营性收入,被动收入,月总流入,月总流出,储蓄率,活期存款,理财产品,股票基金,房产估值,总资产,净资产,信用卡欠款,房贷余额,其他贷款,总负债,负债率,养老金账户余额,缴纳年限,住房公积金余额,商业保险年缴,保险保额,风险偏好,计划退休年龄,目标养老金,期望收益率下限,期望收益率上限,期望退休后的月开销,健康状况,平台月访问次数,策略采纳率,交互问答次数,个性化设置次数,反馈积极度,信任评分,住房固定支出消费,家庭公共事业消费,家居家装消费,日用杂货消费,家庭服务消费,餐饮食品消费,日常通勤消费,私家车消费消费,长途差旅消费,服饰鞋履消费,美妆护肤消费,文娱消费,运动健身消费,兴趣爱好消费,教育培训消费,书籍文具消费,求医问药消费,保健养生消费,电子设备与通信消费,礼品礼金消费,公益慈善消费,意外杂项消费,保险消费,投资理财消费,贷款利息消费
U000001,36,女,深圳,个体商户,高中,丧偶,16690.14,5500.59,2232.11,24422.84,23647.06,0.03,446621.66,2498102.79,43469.42,1265765.46,4253959.33,3821296.05,3635.26,327956.96,101071.06,432663.28,0.1,5307.19,3,107402.94,21600.81,839039.64,保守,69,3151695.58,0.05,0.06,11972,一般,25,0.23,27,10,0.49,44.0,1171.19,217.61,217.57,76.77,2580.17,1179.07,1579.54,26.68,4494.64,2291.77,306.21,257.45,259.93,465.37,954.37,725.52,441.6,1214.08,192.73,443.25,585.35,781.19,1972.99,285.74,926.28
U000002,55,男,大连,自由职业,大专,已婚,18585.21,16142.57,7297.32,42025.1,36482.58,0.13,827148.4,1419503.91,276020.32,2488213.99,5010886.62,3503892.68,98963.16,1292560.35,115470.43,1506993.94,0.3,140914.37,2,99189.5,28216.99,1970443.04,稳健,63,4399176.5,0.029,0.087,10851,差,11,0.23,11,6,0.77,75.62,61.51,1209.49,241.76,86.98,3845.3,4358.59,2136.64,469.77,132.9,1490.63,750.12,168.3,883.9,45.25,3104.01,387.23,1404.65,483.04,949.29,1023.14,264.3,4516.58,1929.64,3627.29,2912.28
U000003,34,男,郑州,律师,硕士,未婚,17015.4,13692.29,8428.52,39136.21000000001,38666.57,0.01,146590.77,86670.66,157726.52,803222.63,1194210.58,-420323.5,24895.98,1414364.57,175273.53,1614534.08,1.35,62935.58,10,74884.69,26717.43,1285703.74,保守,59,1691960.75,0.022,0.094,6649,优,8,0.7,27,12,0.55,94.83,383.7,81.41,692.23,865.67,556.84,3103.89,776.13,580.13,1376.27,267.19,2850.46,136.28,7623.85,2602.44,389.69,9.74,2972.56,2158.49,2296.69,2594.93,135.32,780.82,216.62,3497.86,1717.33
U000004,28,男,杭州,科研人员,本科,已婚,14114.1,8443.2,127.06,22684.360000000004,17939.01,0.21,577750.4,1269874.43,485539.19,430389.85,2763553.87,2481850.45,1216.99,144144.36,136342.07,281703.42,0.1,107394.07,2,115289.81,9660.98,587000.26,激进,60,2541756.68,0.058,0.113,8947,优,8,0.88,11,3,0.91,49.4,59.09,335.19,353.93,1176.93,913.27,1963.76,575.08,114.62,1124.06,1287.18,741.4,1326.32,612.65,665.62,501.96,23.17,102.74,28.74,910.43,339.61,639.31,2142.84,258.03,475.39,1267.7
U000005,43,女,苏州,程序员,博士,丧偶,14174.52,2237.35,3629.81,20041.68,21898.76,-0.09,588945.61,754274.78,120435.8,1702070.83,3165727.0200000005,1893950.02,10710.96,1097861.39,163204.65,1271776.9999999998,0.4,195596.9,17,114875.16,4224.08,950564.76,保守,60,1692754.83,0.054,0.085,14488,良,6,0.84,6,9,0.58,73.66,1406.71,855.07,1748.08,1387.18,175.95,1900.86,660.46,1403.69,1929.34,326.12,99.35,220.42,474.66,1451.82,1679.76,5.94,609.14,460.36,214.02,108.8,350.98,2439.64,332.64,623.26,1034.51
U000006,31,男,深圳,程序员,高中,丧偶,12694.73,11766.17,2301.15,26762.050000000003,19003.96,0.29,43305.78,1609312.54,114470.89,2716260.04,4483349.25,4233183.14,96279.16,106286.02,47600.93,250166.11,0.06,133795.56,3,80885.09,21194.23,1764766.15,平衡,70,1593487.59,0.034,0.084,9192,优,3,0.18,27,11,0.6,60.36,2613.52,2404.18,212.48,503.73,262.2,245.58,27.53,688.94,511.69,38.72,239.26,1749.92,200.61,114.66,492.46,3108.89,203.02,816.89,1050.37,198.76,954.3,335.88,732.9,735.34,562.13
U000007,29,女,重庆,市场营销,博士,丧偶,10828.39,8972.27,843.76,20644.42,15261.85,0.26,147385.8,2262000.72,221565.37,430674.55,3061626.44,2726452.33,59435.13,75882.49,199856.49,335174.11,0.11,167205.52,1,138955.05,24357.57,332622.22,稳健,70,2666112.88,0.053,0.114,5914,良,5,0.4,24,8,0.95,81.03,553.64,701.11,10.36,444.53,159.09,641.81,118.69,727.35,302.88,1709.86,91.64,258.39,74.61,1601.98,1299.79,184.8,668.23,1052.72,501.83,467.23,171.51,60.54,1409.3,1428.9,621.09
U000008,26,女,西安,制造业工人,本科,丧偶,11501.11,14714.74,121.92,26337.769999999997,19932.49,0.24,28079.71,1096613.59,459693.57,265563.07,1849949.9400000002,1572314.01,5801.72,101565.7,170268.51,277635.93,0.15,13704.27,0,101281.88,6538.67,239773.23,稳健,62,3105135.76,0.012,0.065,9008,一般,21,0.57,33,10,0.95,43.28,370.73,1117.15,1962.59,1882.36,1306.23,886.59,75.85,152.15,1974.79,804.76,7.97,92.34,939.97,4.38,151.3,686.7,1016.05,910.87,219.16,1074.82,233.73,339.71,1184.37,905.11,1632.8
U000009,37,男,南京,程序员,本科,已婚,17866.18,9165.71,9984.54,37016.43,40645.83,-0.1,49084.68,607489.79,132600.21,2799778.13,3588952.81,2086914.87,109227.16,1318905.36,73905.42,1502037.94,0.42,31549.37,9,91751.66,30702.95,1307952.64,平衡,55,3505384.42,0.038,0.116,6718,良,3,0.85,8,8,0.38,36.96,606.48,407.7,370.04,4779.09,660.69,2945.07,1319.47,2095.4,924.03,1137.99,897.38,287.38,1695.77,436.03,32.57,1371.91,257.9,3732.29,4071.62,3259.22,611.61,20.61,3486.8,739.48,4499.31
U000010,40,男,天津,市场营销,大专,已婚,21690.38,9770.64,9053.36,40514.380000000005,41448.31,-0.02,64608.93,1270727.32,138340.11,10637.07,1484313.43,376006.81,100245.5,955670.07,52391.05,1108306.6199999999,0.75,148246.18,17,105850.12,17949.02,223747.76,保守,59,2955156.3,0.052,0.095,15434,一般,4,0.44,1,9,0.56,90.65,2498.97,454.57,633.79,2482.47,496.76,242.05,1060.56,3585.82,1552.03,1100.15,133.24,1244.06,6009.05,196.7,952.07,2735.16,1759.53,1556.26,1580.0,580.62,452.98,2160.09,2165.24,2630.04,3186.12
U000011,52,男,西安,制造业工人,高中,已婚,19945.14,14989.55,9257.64,44192.33,31746.39,0.28,133251.45,2879593.31,88526.19,1236883.23,4338254.18,2767424.4,27621.54,1386730.94,156477.3,1570829.78,0.36,82342.63,21,129609.6,28862.68,533611.42,积极,69,3655751.85,0.029,0.062,12607,一般,15,0.28,14,11,0.51,81.7,1927.83,2223.2,2917.53,4053.79,757.53,864.88,181.26,1585.67,67.22,1150.77,1436.7,620.06,1641.17,56.89,69.9,3175.98,820.16,249.56,1356.55,2699.03,446.49,1791.01,163.84,97.45,1391.91
U000012,27,女,大连,自由职业,本科,未婚,24958.19,7022.92,1018.81,32999.92,31011.97,0.06,480886.86,778202.19,13800.27,438519.21,1711408.5299999998,1371414.09,27166.38,116117.95,196710.11,339994.43999999994,0.2,7651.44,4,65184.56,20472.12,627354.63,平衡,58,2233379.45,0.039,0.075,10471,一般,22,0.45,33,6,0.55,34.55,1171.97,1495.9,4301.36,838.99,450.54,1831.71,364.86,667.67,94.38,29.66,3797.5,2088.29,1375.4,607.46,219.84,196.52,332.7,920.43,1448.41,1246.88,379.37,3578.85,1546.8,933.65,1092.83
U000013,41,女,广州,企业管理,大专,离异,11641.89,13944.17,5544.12,31130.179999999997,21664.12,0.3,472099.9,1156393.1,374067.28,522082.03,2524642.31,1673662.64,75121.89,609112.75,166745.03,850979.67,0.34,60774.99,6,64483.22,18733.51,1309411.25,稳健,69,2488037.08,0.044,0.091,9135,良,25,0.82,5,2,0.5,73.15,1852.47,18.94,161.16,61.52,54.31,2526.51,1588.69,839.62,134.49,883.69,837.88,248.44,743.11,664.0,1249.7,1316.83,60.56,613.12,1284.19,913.63,2535.85,1404.16,232.32,95.59,1343.32
U000014,18,女,福州,学生,硕士,已婚,712.7,4248.69,145.66,5107.049999999999,4122.52,0.19,302287.38,369426.95,348177.13,247188.58,1267080.04,1113776.82,20982.66,131211.6,1108.96,153303.22,0.12,0.0,0,0.0,5558.56,1608219.71,积极,69,725982.73,0.022,0.111,5639,差,14,0.21,29,10,0.97,87.94,152.96,488.93,148.69,85.27,178.9,106.38,136.9,492.56,84.68,563.88,409.16,37.82,12.48,18.44,3.19,17.22,199.39,12.82,66.67,323.41,4.09,292.35,57.46,21.82,207.07
U000015,29,女,宁波,科研人员,高中,离异,16498.8,5546.23,1555.35,23600.379999999997,19878.56,0.16,141155.06,1077687.85,356772.43,117246.79,1692862.1300000001,300934.82,36271.53,1339540.25,16115.53,1391927.31,0.82,30166.13,6,104092.47,20274.23,128457.7,平衡,68,1988966.26,0.033,0.064,11999,差,26,0.44,37,0,0.9,79.76,1035.63,210.9,124.33,883.98,1046.58,2964.31,338.68,296.14,953.49,265.26,1699.61,1244.31,356.68,884.63,894.09,69.28,1482.12,447.93,1114.77,245.53,1437.78,313.8,6.94,1500.87,60.93
U000016,52,男,苏州,市场营销,本科,离异,19321.9,14950.31,5461.32,39733.53,35824.8,0.1,180841.73,789917.88,217917.99,87074.46,1275752.06,124411.95,51763.95,1018712.83,80863.33,1151340.11,0.9,33008.95,14,137931.24,34913.7,1068247.26,积极,63,3163517.49,0.043,0.065,8858,一般,13,0.21,14,5,0.34,54.64,4520.96,4537.52,1285.25,1507.35,897.59,523.49,601.12,1683.98,2105.63,2365.64,2351.51,144.27,1028.88,89.43,1202.98,878.79,3298.53,651.97,187.82,232.77,2162.34,1452.55,160.82,132.53,1821.09
U000017,52,女,深圳,自由职业,博士,未婚,16986.89,16698.22,4703.07,38388.18,37409.75,0.03,42710.2,3426910.89,112111.08,205855.11,3787587.2800000003,3573572.09,147421.98,60387.21,6206.0,214015.19,0.06,49456.66,26,3057.0,5424.81,252441.95,平衡,67,1014752.51,0.057,0.088,6600,差,8,0.71,5,3,0.84,40.64,5359.95,582.31,575.13,2081.12,3654.27,5301.97,1738.72,586.27,108.3,1864.6,1015.19,685.64,2941.43,146.41,842.73,14.18,785.41,71.98,157.11,155.29,1301.12,1702.33,1087.47,4067.32,583.5
U000018,29,女,大连,教师,博士,丧偶,14496.15,11841.96,1661.14,27999.25,20199.35,0.28,411343.87,738877.58,342129.52,402763.98,1895114.95,952009.75,85992.54,848898.83,8213.83,943105.2,0.5,106549.05,5,10343.51,18584.49,25304.3,积极,68,4200489.13,0.015,0.118,8595,差,20,0.81,29,4,0.6,77.7,1128.98,140.79,1837.33,6.8,1948.39,24.54,1233.68,417.29,2757.4,42.65,448.98,1937.85,411.9,552.18,661.92,337.18,549.43,488.32,1287.37,25.87,183.49,1671.07,1229.2,338.32,538.44
U000019,55,女,宁波,自由职业,硕士,未婚,16480.83,6446.09,2454.95,25381.870000000003,27090.35,-0.07,237089.01,1690507.5,375238.14,1709548.93,4012383.58,3302017.19,106910.16,504594.93,98861.3,710366.39,0.18,65002.83,31,31817.98,29120.88,680677.69,保守,69,3655326.88,0.024,0.061,9918,一般,6,0.17,13,15,0.69,45.62,327.5,658.26,60.79,2753.22,3218.16,899.87,577.0,278.24,1262.75,867.17,133.32,1816.7,1298.87,2247.48,971.79,713.97,406.94,2027.58,1510.26,34.76,20.07,354.84,1249.78,3278.57,122.46
U000020,29,女,西安,自由职业,本科,已婚,12001.82,13279.2,738.04,26019.06,22811.86,0.12,202816.86,2441747.09,275194.24,175905.26,3095663.4499999993,2540616.86,49004.49,459934.49,46107.61,555046.59,0.18,144256.87,5,17933.21,15379.3,1524379.22,平衡,60,1361934.38,0.047,0.077,10864,优,18,0.88,33,9,0.99,84.12,262.8,1920.35,1011.73,998.73,346.62,293.69,175.05,31.8,1096.42,918.67,4479.24,3121.31,444.31,803.11,1587.37,1038.51,155.74,328.21,75.8,1688.24,510.74,142.29,610.48,527.63,243.03
U000021,48,女,大连,自由职业,博士,已婚,18596.94,910.31,545.26,20052.51,14960.54,0.25,736389.9,2168756.83,376396.09,307762.94,3589305.76,3065263.18,1790.75,426508.99,95742.84,524042.57999999996,0.15,68141.19,1,37871.76,29643.27,228174.28,激进,57,2303183.49,0.014,0.098,10324,差,1,0.22,18,9,0.36,46.13,1033.16,512.67,1334.74,560.46,574.67,1461.1,360.71,100.46,20.39,982.36,676.11,850.14,167.2,102.36,10.23,301.39,622.35,347.68,401.67,1637.25,298.89,503.75,1068.81,352.63,679.38
U000022,43,男,重庆,自由职业,高中,已婚,14354.54,17203.33,9900.31,41458.18,31205.16,0.25,453349.94,1920337.37,370044.65,2842770.6,5586502.5600000005,5109619.98,28259.16,316537.79,132085.63,476882.57999999996,0.09,31411.42,5,82798.84,5149.92,817035.15,稳健,70,1810666.8,0.022,0.102,13359,一般,22,0.79,2,7,0.95,81.21,4569.49,243.43,3996.39,1036.72,457.13,940.45,5988.7,1038.23,609.97,1535.54,420.24,120.73,211.13,209.67,252.12,228.7,1567.06,307.18,649.02,3475.06,982.98,1685.2,289.41,326.78,63.85
U000023,47,男,宁波,程序员,博士,丧偶,15809.23,3318.46,3076.12,22203.809999999998,21637.14,0.03,438289.43,966845.47,62176.83,2066033.97,3533345.7,1918475.25,100761.65,1414014.36,100094.44,1614870.45,0.46,98759.04,2,89705.5,30329.32,1469067.85,平衡,63,616392.02,0.021,0.1,7645,良,27,0.56,0,8,0.7,79.6,105.15,145.53,699.19,261.61,512.8,792.44,1327.28,45.4,1818.64,1119.14,96.56,2341.24,2871.67,71.35,366.99,1857.63,1561.51,230.92,265.92,523.9,750.17,1090.17,521.1,702.88,1557.96
U000024,62,女,苏州,退休人员,高中,已婚,737.59,1824.85,3479.61,6042.05,4632.16,0.23,616522.83,3516705.69,164901.83,2081021.02,6379151.369999999,4748497.95,50149.9,1417790.31,162713.21,1630653.42,0.26,110019.32,29,13208.97,9742.6,231843.2,平衡,70,4392097.63,0.051,0.06,5839,良,17,0.47,1,6,0.66,70.47,72.51,311.43,562.24,178.65,189.31,28.25,147.84,189.58,69.21,78.18,118.06,5.05,96.89,59.21,98.89,31.79,551.35,224.42,283.3,388.0,171.99,22.66,191.98,220.31,341.02
U000025,63,男,广州,自由职业,本科,丧偶,17488.26,9694.24,288.69,27471.19,25136.44,0.08,743361.77,2945598.72,155375.07,41023.39,3885358.95,3308220.46,71806.36,337050.99,168281.14,577138.49,0.15,22692.22,7,97156.45,5989.48,1865306.12,平衡,69,2789924.07,0.024,0.11,8579,一般,15,0.29,17,4,0.57,89.92,444.17,1022.24,832.76,433.43,4239.91,916.5,266.63,105.69,163.33,277.96,172.47,203.31,330.44,187.47,2235.8,82.35,731.97,520.17,3976.47,117.0,499.45,3435.35,1975.36,1672.51,293.68
U000026,50,女,深圳,个体商户,硕士,未婚,17428.98,5971.12,5869.38,29269.48,32180.36,-0.1,391712.28,520083.96,269290.29,1035371.83,2216458.36,1227456.74,82787.61,815145.09,91068.92,989001.62,0.45,64355.47,6,147116.19,8358.19,765941.7,激进,68,696412.85,0.047,0.102,7585,差,12,0.41,20,4,0.65,32.41,1730.95,4153.41,1275.07,1328.47,514.75,2299.67,324.51,612.87,868.4,1110.26,435.05,191.16,1478.08,533.7,1364.08,262.75,1028.2,1191.85,83.39,643.11,226.21,102.6,7210.52,609.8,2601.49
U000027,20,男,上海,学生,本科,未婚,982.17,771.81,938.98,2692.96,2920.79,-0.08,169280.62,1385409.2,324918.33,425882.65,2305490.8,1980909.76,76710.72,171868.44,76001.88,324581.04000000004,0.14,0.0,0,0.0,933.38,136841.49,平衡,64,4988416.65,0.047,0.086,12230,一般,3,0.71,6,14,0.42,49.47,97.17,68.45,56.96,46.04,284.67,190.56,359.86,14.24,140.86,299.01,21.46,7.38,145.03,91.7,197.91,16.16,170.21,24.17,19.18,19.26,180.84,117.43,79.46,47.7,225.07
U000028,28,女,苏州,律师,本科,已婚,10210.88,10623.33,1131.86,21966.07,21883.91,0.0,98590.52,189524.04,435419.8,309855.18,1033389.54,796672.24,25527.96,182565.8,28623.54,236717.3,0.23,92229.98,2,68935.57,18938.28,1797817.06,积极,69,4555442.41,0.044,0.069,9404,差,14,0.86,37,9,0.75,57.58,1478.26,504.01,412.36,541.39,312.59,1199.96,608.88,230.31,2003.17,422.13,683.56,2065.19,853.1,108.35,2449.66,861.18,355.45,130.72,1377.09,843.49,664.5,1955.2,1354.42,143.37,325.59
U000029,24,女,苏州,制造业工人,高中,离异,15291.01,1794.8,591.74,17677.550000000003,16787.3,0.05,11847.38,1826082.64,197902.87,4048.98,2039881.8699999996,1604722.39,84776.6,155662.32,194720.56,435159.48,0.21,182123.39,2,0.0,24593.02,572388.3,稳健,62,3231792.49,0.028,0.098,5779,优,19,0.3,8,3,0.93,72.01,567.24,966.4,1407.61,281.48,1157.6,78.82,1259.75,91.69,340.4,1073.02,109.2,175.07,861.27,855.92,689.02,796.02,526.07,195.03,285.19,134.73,1607.42,588.69,344.39,416.77,1978.51
U000030,61,女,南京,企业管理,博士,丧偶,17631.75,3512.8,1321.6,22466.149999999998,19538.9,0.13,884055.52,2149952.11,456743.49,2491417.86,5982168.98,4604565.84,44198.85,1237034.72,96369.57,1377603.1400000001,0.23,161297.7,21,120634.88,17937.09,150598.72,平衡,67,4370632.69,0.046,0.119,7407,优,17,0.39,12,0,0.49,38.03,500.52,399.87,536.19,10.37,1166.54,1525.74,472.31,676.59,1450.58,696.74,93.88,487.05,529.32,313.02,756.35,1544.85,1473.5,339.96,68.16,2376.07,1035.53,75.52,1438.58,1156.75,414.93
U000031,43,女,大连,程序员,硕士,离异,11522.61,12390.94,9431.69,33345.240000000005,25475.87,0.24,445360.0,2040105.0,317701.96,1392802.61,4195969.57,3103428.72,95346.49,973859.17,23335.19,1092540.85,0.26,9069.36,1,45654.69,16207.35,194384.0,保守,59,2248906.24,0.029,0.117,6154,一般,22,0.86,13,4,0.92,72.57,500.09,1989.02,5.69,496.96,621.98,944.26,3091.59,520.8,521.94,1638.33,737.25,311.6,737.74,185.97,237.7,845.05,664.98,3017.32,551.25,1064.33,1225.39,16.15,1334.26,240.15,3976.06
U000032,33,男,青岛,律师,大专,未婚,19188.65,17109.0,993.55,37291.200000000004,35159.64,0.06,343013.49,2591282.7,179336.92,1194418.93,4308052.04,3933188.03,22017.79,183239.58,169606.64,374864.01,0.09,90943.47,10,31815.87,19120.84,1942186.62,平衡,56,4040575.66,0.022,0.068,7358,良,18,0.26,35,6,0.71,82.85,784.15,130.64,8446.41,1021.44,1324.96,101.67,2029.77,345.0,3343.54,336.2,309.81,54.52,935.4,1218.39,99.53,2187.72,884.22,1088.23,851.04,749.88,1200.99,247.04,294.05,2897.85,4277.19
U000033,64,女,重庆,退休人员,高中,丧偶,261.75,13221.15,257.8,13740.699999999999,8346.52,0.39,742585.58,999312.75,161885.73,522738.6,2426522.66,1199401.43,9327.03,1112577.09,105217.11,1227121.2300000002,0.51,149133.06,30,67241.28,14191.93,1187332.04,积极,70,2767274.1,0.057,0.063,11243,优,16,0.34,20,0,0.34,61.13,246.38,12.06,79.6,590.15,504.33,12.88,117.68,123.2,522.5,9.33,51.54,754.4,92.21,495.91,127.55,49.11,130.63,600.65,907.64,831.41,237.31,517.09,107.55,162.66,1062.72
