用户ID,年龄,性别,所在城市,职业,教育程度,婚姻状况,月工资收入,经营性收入,被动收入,月总流入,月总流出,储蓄率,活期存款,理财产品,股票基金,房产估值,总资产,净资产,信用卡欠款,房贷余额,其他贷款,总负债,负债率,养老金账户余额,缴纳年限,住房公积金余额,商业保险年缴,保险保额,风险偏好,计划退休年龄,目标养老金,期望收益率下限,期望收益率上限,健康状况,平台月访问次数,策略采纳率,交互问答次数,个性化设置次数,反馈积极度,信任评分,餐饮消费,衣物消费,住房消费,交通消费,娱乐消费,教育培训消费,医疗保健消费,健身运动消费,旅行度假消费,数字产品消费,宠物消费,图书影音消费,美容护肤消费,线上购物消费,线下购物消费,奢侈品消费,家庭日用品消费,母婴消费,绿色环保消费,慈善捐赠消费
U000001,36,女,深圳,教师,硕士,未婚,16690.14,14831.01,2448.92,33970.07,22752.1,0.33,67646.82,2073869.69,272683.27,1771477.54,4185677.32,3994724.79,3877.49,140542.86,46532.18,190952.52999999997,0.05,120403.75,8,29825.65,20016.44,1089882.96,平衡,57,2521440.71,0.024,0.112,一般,24,0.74,27,10,0.49,44.0,1889.41,1309.99,243.4,243.36,85.86,2885.93,1318.8,1766.73,29.85,5027.29,2563.36,342.5,287.96,290.73,520.52,1067.47,811.49,493.93,1357.96,215.57
U000002,36,男,大连,科研人员,大专,已婚,14785.21,14594.64,5362.28,34742.13,37749.34,-0.09,249832.69,1545713.77,414702.33,1855559.26,4065808.05,2953737.22,105128.24,866028.22,140914.37,1112070.83,0.27,9164.88,3,115960.25,30344.82,1710635.44,稳健,53,2210568.01,0.033,0.11,差,5,0.4,13,8,0.79,74.43,765.55,1010.97,1349.21,3407.58,493.51,1599.79,1988.59,105.39,2072.4,414.25,149.04,6588.76,7468.26,3661.05,804.93,227.72,2554.13,1285.3,288.38,1514.53
U000003,34,男,杭州,市场营销,硕士,未婚,17267.63,4392.3,3242.83,24902.760000000002,24508.22,0.02,35800.29,2218867.0,402522.9,1203494.36,3860684.55,2369734.09,7810.26,1369704.19,113436.01,1490950.46,0.39,143582.85,3,98315.8,11948.08,1829095.18,保守,64,1142922.16,0.017,0.105,优,17,0.31,37,13,0.93,55.96,446.95,878.36,946.7,244.55,4179.13,1785.46,3356.28,2694.69,1090.07,3050.39,110.86,261.0,55.38,470.86,588.83,378.76,2111.28,527.93,394.61,936.15
U000004,28,女,郑州,制造业工人,大专,已婚,9937.47,15841.59,844.32,26623.379999999997,16819.69,0.37,221339.19,2390691.31,264557.17,485539.19,3362126.86,3124443.65,91242.65,2296.2,144144.36,237683.20999999996,0.07,136342.07,4,112631.67,21828.2,680350.95,平衡,59,2456443.63,0.033,0.117,良,28,0.68,32,5,0.66,36.92,138.62,1478.85,70.7,3955.34,1350.18,202.18,5.05,1542.2,1119.85,1191.55,1346.28,70.21,405.1,112.39,1814.73,890.97,366.7,59.93,339.93,358.94
U000005,44,男,厦门,企业管理,本科,丧偶,19237.58,18369.87,5989.45,43596.899999999994,36808.99,0.16,82782.12,1161538.45,492660.69,2420324.41,4157305.67,3649482.47,33044.42,361307.39,113471.39,507823.2,0.12,15751.41,15,122403.49,32469.09,1065412.34,激进,54,1077761.59,0.034,0.093,差,8,0.52,19,13,0.98,90.38,4786.83,1401.81,279.39,2739.99,3137.6,1807.22,3233.02,1493.38,1622.5,1223.58,56.48,250.43,70.05,2219.25,827.83,1558.36,5223.37,628.97,1158.8,3090.13
U000006,21,男,深圳,程序员,硕士,离异,16268.72,320.13,42.07,16630.92,14584.66,0.12,300104.46,14741.22,353920.47,29436.88,698203.0299999999,619633.91,6200.83,6282.59,66085.7,78569.12,0.11,0.0,0,0.0,5634.43,264623.7,保守,68,3092952.42,0.022,0.088,良,13,0.25,6,13,0.55,56.72,172.54,53.2,227.22,116.76,1763.2,1096.39,666.44,1362.45,1081.16,137.14,1481.53,514.76,1094.03,1503.73,254.18,77.43,171.8,369.95,1131.55,1309.21
U000007,34,女,重庆,个体商户,博士,丧偶,14815.34,8972.27,4218.82,28006.43,20704.39,0.26,159876.13,2492817.12,221565.37,2584047.31,5458305.93,5117628.56,64938.39,75882.49,199856.49,340677.37,0.06,167205.52,1,138955.05,25630.61,332622.22,稳健,65,2666112.88,0.053,0.114,良,5,0.4,24,8,0.95,81.03,637.06,296.16,150.55,485.7,3376.03,460.32,862.49,1431.58,532.94,4206.95,3869.96,342.02,810.85,422.05,395.31,44.32,1108.98,823.66,62.32,385.14
U000008,26,女,西安,自由职业,硕士,已婚,12496.24,11583.61,1084.39,25164.239999999998,24509.66,0.03,32012.55,1343608.47,251425.19,426359.95,2053406.16,1829169.95,16058.14,192155.78,16022.29,224236.21,0.11,37164.99,4,10194.13,23958.57,807551.1,平衡,68,1607969.07,0.04,0.097,差,13,0.63,36,10,0.95,43.28,3115.53,357.17,204.15,876.77,5535.03,361.45,1454.37,1870.06,353.87,1699.03,598.0,1304.85,1309.2,1000.82,123.41,2352.3,504.47,269.23,54.29,1165.66
U000009,27,男,南京,自由职业,博士,已婚,8748.01,186.31,1242.32,10176.64,8970.68,0.12,56989.31,1263440.85,252942.35,66228.29,1639600.8000000003,1540688.74,36296.92,13758.26,48856.88,98912.06,0.06,56997.48,3,125061.74,19769.47,1223355.53,平衡,70,2880233.12,0.043,0.093,良,29,0.63,8,8,0.38,36.96,429.89,79.5,487.18,202.87,1145.26,61.38,173.07,49.97,1073.0,870.59,123.78,447.58,705.11,336.12,312.95,114.88,40.55,943.94,957.07,416.01
U000010,40,女,上海,公务员,大专,已婚,16205.69,10108.18,2511.21,28825.08,30383.93,-0.05,35559.23,1902853.34,414674.04,132260.29,2485346.9,2049795.47,43362.35,196229.49,195959.59,435551.43,0.18,32316.4,14,82752.06,13685.98,19339.4,保守,52,4752729.23,0.045,0.069,一般,1,0.77,18,4,0.6,32.72,727.72,755.0,2275.14,3996.93,3833.53,2660.22,1805.59,154.48,309.85,4021.77,1638.94,16.24,188.06,1914.3,8.92,308.13,1398.51,2069.24,1855.03,446.34
